Course Information ID,Academic Year,Course Title,Offering ID,Offering Code,Offering Start Date,Offering End Date,Offering Status Code,Offering Status Description,Offering College Level Code,Offering College Level Description,Mode Of Attendance,Cost,Display Cost,Allow Applications,Allow Enquiries,Allow Enrolment,Course Introduction,Qualification Awarding Body,Delivery,Entry Requirements,Location,Progression Opportunities,Qualifications,Career Prospects,Additional Funding Information,Assessments,Course Content,Application And Interview Process,User Defined1,User Defined2,User Defined3,User Defined4,User Defined5,User Defined6,User Defined7,User Defined8,User Defined9,User Defined10,Area Of Interest1,Area Of Interest2,Area Of Interest3,Area Of Interest4,Area Of Interest5,Course Category1,Course Category2,Course Category3,Course Category4,Course Category5,Keywords,Qualification Of Study ID,Qualification Of Study Description,Qualification Of Study Description For Website,SCQF Level Programme Description,SCQF Level Programme ID,Application URL,Enrolment URL,Area Of Interest Taxonomy,Course Category Taxonomy
135,21/22,Electrical Engineering - NC (SCQF Level 6),39732,NCELEN06FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,STM,STEM,Full Time,,NO,YES,YES,YES,"This full-time course is designed for people interested in entering a career in electrical engineering or electrical installation aspects of construction or engineering. The course contains a selection of SQA national qualifications covering Electrical Principles, Systems and Testing, Plant, Induction Motors, Cable Ratings, Trunking and Conduit Systems. There are also units in Maths and Communication to support you in the course and to help prepare you for employment.Core Skills for working in the engineering industry are an essential, timetabled part of this course.",SQA (Scottish Qualifications Authority),"Full-time 36 week course, 3 days per week in College , 1 or 2 days per week on placement ,","4 passes at National 5 or above, to include Mathematics or Physics.An interview session (inclusive of level-specific College skills and theory test).",Scottish Borders Campus,Electrical Engineering/Installation Apprenticeship or HNC in Electrical Engineering.,NC in Electrical Engineering at SCQF Level 6,,,,,,,,,,,,,,,,Engineering and Motor Vehicle,,,,,,,,,,,33,National Certificate Award (accredited group award),National Certificate Award (NC),06 - Higher/ PDA Level 6/ SVQ 3,6,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=39732,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directenrol/EnrolFromApp/checkout_directenrolFromApp.ascx&offeringid=39732,Engineering and Motor Vehicle,Full Time
136,21/22,Electrical Engineering - NC (SCQF Level 5),26550,NCELEN05FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,STM,STEM,Full Time,,NO,YES,YES,YES,"This full-time course is designed for people interested in entering a career in electrical engineering or electrical installation aspects of construction or engineering. The course contains a selection of SQA national qualifications covering Electrical Wiring Skills, Testing and Measurement, Earthing Systems, Cable Ratings, Cable Tray, Management Information Systems and Safe Working Practices. There are also units in Maths and Communication to support you in the course and to help prepare you for employment.Core Skills for working in the engineering industry are an essential, timetabled part of this course.",SQA (Scottish Qualifications Authority),"Full-time 36 week course, 2.5 days per week in College , 1 or 2 days per week on placement","3 passes at National 4 or above, to include Mathematics or Physics, plus an interview session (inclusive of level-specific College skills and theory test) or successful completion of Introduction to Engineering Skills at Level 4.",Scottish Borders Campus,NC in Electrical Engineering at SCQF Level 6. Electrical Engineering/Installation Apprenticeship.,NC in Electrical Engineering at SCQF Level 5,,,,,,,,,,,,,,,,Engineering and Motor Vehicle,,,,,,,,,,,33,National Certificate Award (accredited group award),National Certificate Award (NC),05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=26550,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directenrol/EnrolFromApp/checkout_directenrolFromApp.ascx&offeringid=26550,Engineering and Motor Vehicle,Full Time
137,21/22,Engineering Systems with Renewable Energy NC at Level 5,27292,NCENGS05FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,STM,STEM,Full Time,,NO,YES,YES,YES,"The course provides learners with an excellent foundation in the basic principles of Engineering Systems and reflects the need for multidisciplinary engineering technicians working in emerging and expanding local industries such as renewable electricity generation. The course is a mix of theoretical and practical activities within electrical and mechanical engineering disciplines. There is an emphasis on developing practical engineering skills. Units have been selected to compliment and support each other. Assessment is based around written assignments, practical tasks and manufactured outcomes.Subjects studied include: Engineering principles, test and measurement, electrical wiring skills, fabrication skills, assembly skills, manufacturing components on a lathe and building domestic wind turbine systems. Practical activities will be undertaken in the mechanical engineering workshop at Tweedbank",SQA,"The course will be delivered across two campuses, SBC and Tweedbank, with the course delivered over three days. Course is due to start in August 2021.",Candidates for the NC should have a minimum of grade C passes in mathematics at intermediate 1/national 4 level as well as qualifications in technology or physics based subjects. Mature applicants are also invited to apply without the necessary minimum requirements,SBC/Tweedbank,Successful completion will lead to a choice of applying for NC Engineering Systems (Level 6) or NC Electrical Engineering (Level 6),"National Certificate, SCQF level 5",,,,,,,,,,,,,,,,Engineering and Motor Vehicle,,,,,,,,,,,33,National Certificate Award (accredited group award),National Certificate Award (NC),05 - Intermediate 2/ National 5/ Credit standard/ SVQ 2,5,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=27292,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directenrol/EnrolFromApp/checkout_directenrolFromApp.ascx&offeringid=27292,Engineering and Motor Vehicle,Full Time
138,21/22,Engineering Academy - Schools Academy,29565,VQENSL04PT1-001,19/08/2021 00:00,01/04/2022 00:00,L,Live,STM,STEM,Part Time,,NO,NO,YES,NO,"You will use and communicate technical information to make components using hand tools, use fitting techniques and assemble mechanical components while gaining an understanding of working safely, efficiently and effectively in and engineering environment.",SQA,,2 Passes at National 3 to include Maths or Physics.,,,,,,,,,,,,,,,,,,,Engineering and Motor Vehicle,,,,,,,,,,,31,Scottish Vocational Qualification or National Vocational Qualification,Vocational Qualification (SVQ/NVQ),04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,Engineering and Motor Vehicle,Part Time
139,21/22,Engineering Academy - Schools Academy 2,27626,NUIIEN04PT1-001,19/08/2021 00:00,01/04/2022 00:00,L,Live,STM,STEM,Part Time,,NO,NO,YES,NO,"You will use and communicate technical information to make components using hand tools, use fitting techniques and assemble mechanical components while gaining an understanding of working safely, efficiently and effectively in and engineering environment.",SQA,Part time 29 weeks over 1 academic year 2 days per week in College,2 Passes at National 3 to include Maths or Physics.,Scottish Borders Campus Galashiels,"Related Programmes you may move on to: Introduction to Engineering Skills, NC Electrical Engineering, Motor Vehicle Maintenance, Fabrication and Welding, Apprenticeships in any of the above.",Performing Engineering Operations SVQ Level 1,,,,,,,,,,,,,,,,Engineering and Motor Vehicle,,,,,,,,,,,39,Non-advanced units only but not leading to an award certificate (including infill),,04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,Engineering and Motor Vehicle,Part Time
140,21/22,Skills for Work: Engineering Skills Nat 4,40490,SWSWEN04DR1-001,19/08/2021 00:00,01/04/2022 00:00,N,Not Running,STM,STEM,Part Time,,NO,NO,YES,NO,"This course provides a basis for moving into further education and or training in employment. The course focuses on developing basic engineering skills within Fabrication, mechanical, electrical/electronic and manufacture engineering. The Skills for Work Engineering course include some or all of the following:Learning in real or simulated workplace settingsPlanning and carrying out practical tasks and assignmentsLearning through reflecting at all stages of the experience and problem solving.",SQA,2 Afternoon sessions per week for 1 year; Tuesday and Thursday for 28 weeks,"A minimum of two National 3's and one National 4 or above in Maths, English and a Technology/Practical subject",Online/School,NC Engineering Systems Level 5NC Electrical Engineering Level 5,Skills for Work: Engineering Skills National 4,,,,,,,,,,,,,,,,Engineering and Motor Vehicle,,,,,,,,,,,36,SQA Skills for Work Award,Skills for Work Award,04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,Engineering and Motor Vehicle,Part Time
141,21/22,Skills for Work: Engineering Skills Nat 4 - Eyemouth,29449,SWSWEN04PT1-002,19/08/2021 00:00,01/04/2022 00:00,L,Live,STM,STEM,Part Time,,NO,NO,YES,NO,"This course provides a basis for moving into further education and or training in employment. The course focuses on developing basic engineering skills within Fabrication, mechanical, electrical/electronic and manufacture engineering. The Skills for Work Engineering course include some or all of the following:Learning in real or simulated workplace settingsPlanning and carrying out practical tasks and assignmentsLearning through reflecting at all stages of the experience and problem solving.",SQA,2 Afternoon sessions per week for 1 year; Tuesday and Thursday for 28 weeks,"A minimum of two National 3's and one National 4 or above in Maths, English and a Technology/Practical subject",Online/Eyemouth,NC Engineering Systems Level 5NC Electrical Engineering Level 5,Skills for Work: Engineering Skills National 4,,,,,,,,,,,,,,,,Engineering and Motor Vehicle,,,,,,,,,,,36,SQA Skills for Work Award,Skills for Work Award,04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,Engineering and Motor Vehicle,Part Time
142,21/22,Skills for Work: Engineering Skills Nat 4 - Kelso,29450,SWSWEN04PT1-003,19/08/2021 00:00,01/04/2022 00:00,L,Live,STM,STEM,Part Time,,NO,NO,YES,YES,"This course provides a basis for moving into further education and or training in employment. The course focuses on developing basic engineering skills within Fabrication, mechanical, electrical/electronic and manufacture engineering. The Skills for Work Engineering course include some or all of the following:Learning in real or simulated workplace settingsPlanning and carrying out practical tasks and assignmentsLearning through reflecting at all stages of the experience and problem solving.",SQA,2 Afternoon sessions per week for 1 year; Tuesday and Thursday for 28 weeks,"A minimum of two National 3's and one National 4 or above in Maths, English and a Technology/Practical subject",Online/Kelso,NC Engineering Systems Level 5NC Electrical Engineering Level 5,Skills for Work: Engineering Skills National 4,,,,,,,,,,,,,,,,Engineering and Motor Vehicle,,,,,,,,,,,36,SQA Skills for Work Award,Skills for Work Award,04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,Engineering and Motor Vehicle,Part Time
143,21/22,Automotive Skills - Schools Academy,26998,NUIIMV04PT1-001,19/08/2021 00:00,31/03/2022 00:00,L,Live,STM,STEM,Part Time,,NO,NO,YES,NO,"The course provides the basis for candidates to gain an insight into the automotive industry, the occupations within it and the skills and knowledge required. The course covers four SQA units: Automotive skills; The Car; The Garage; The Technician & The Vehicle Modification Project. Candidates studying this Course may be aiming to progress into an apprenticeship in the automotive industry or undertake vocational courses at further education colleges.",SQA,Part time 29 weeks over 1 academic year 2 days per week in College,Show that you have an interest in this area.,Scottish Borders Campus Galashiels,"Related Programmes you may move on to: Engineering Skills, NC Electrical Engineering, Motor Vehicle Maintenance, Fabrication and Welding",Skills for Work: Automative Skills National 4,,,,,,,,,,,,,,,,Engineering and Motor Vehicle,,,,,,,,,,,39,Non-advanced units only but not leading to an award certificate (including infill),,04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,,,Engineering and Motor Vehicle,Part Time
144,21/22,Land-based Service Engineering - an Introduction,27247,NCLENG04FT1-001,06/09/2021 00:00,24/06/2022 00:00,L,Live,STM,STEM,Full Time,,NO,YES,YES,NO,"This course will give students an introduction to electrics, hydraulics, various welding techniques (MIG, TIG, MMA) and working with sheet metal to construct various artefacts using cutting and bending equipment. There will also be the opportunity to operate land-based machinery, such as tractors and ATVs. The course will include contextualised core skills and sustainability. An important part of this course is work placement in the land-based sector.Core Skills for working in the engineering industry are an essential, timetabled part of this course.",SQA (Scottish Qualifications Authority),"Full-time 36 week course, 3 days per week in College , 1 or 2 days per week on placement .",An interest in agricultural engineering would be beneficial.,Newtown St Boswells Campus,"Fabrication and Welding Engineering NC. Service Engineering as a modern apprentice. Engineering/Mechanical divisions of the armed forces. Vehicle Maintenance and Repair, City and Guilds Level 2 Certificate at SCQF Level 5.",NC in Land-based Service Engineering at SCQF Level 4,,,,,,,,,,,,,,,,Engineering and Motor Vehicle,,,,,,,,,,,33,National Certificate Award (accredited group award),National Certificate Award (NC),04 - Intermediate 1/ National 4/ General standard/SVQ 1,4,https://online.borderscollege.ac.uk/PsWebEnrolment/webenrolment.aspx?page=~/webcontrols/directapply/Main/checkout_directapplyMain.ascx&offeringid=27247,,Engineering and Motor Vehicle,Full Time
